Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 22 ; 7 039 ; 326,76 ; 23 ; 7 277 ; 320,03 ; 29 ; 2 271 ; 78,56 
EU27; 21 ; 7 024 ; 329,75 ; 22 ; 7 113 ; 327,70 ; 26 ; 2 146 ; 81,11 
Italia; 21 ; 7 024 ; 329,75 ; 21 ; 7 024 ; 329,75 ;;; . 
Storbritannia; -   ; 15 ; 61,57 ; 1 ; 165 ; 159,09 ; 2 ; 126 ; 51,16 
Danmark;;; . ; -   ; 89 ; 219,79 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03055101 03055111;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk torsk (unntatt lofotrundfisk, finnmarksrundfisk og rotskjær);;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 10 ; 2 910 ; 289,08 ; 74 ; 13 012 ; 174,72 ; 33 ; 5 078 ; 155,98 
EU27; 10 ; 2 910 ; 289,08 ; 68 ; 11 870 ; 173,51 ; 23 ; 3 837 ; 169,09 
Italia; 9 ; 2 744 ; 297,50 ; 21 ; 6 415 ; 308,33 ; 11 ; 1 783 ; 161,02 
Portugal;;; . ; 45 ; 4 911 ; 109,12 ; 3 ; 504 ; 162,23 
Nigeria;;; . ; 4 ; 669 ; 169,58 ; 3 ; 279 ; 89,75 
Nederland; 1 ; 165 ; 196,59 ; 2 ; 504 ; 207,92 ; 2 ; 314 ; 151,17 
Storbritannia;;; . ; 2 ; 473 ; 223,12 ; 7 ; 962 ; 142,40 
Tyskland;;; . ; -   ; 41 ; 225,24 ; 1 ; 209 ; 156,19 
;;;;;;;;;
Varenr: 03055104 03055114;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk sei, rundfisk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 8 ; 957 ; 112,90 ; 71 ; 7 219 ; 101,54 ; 72 ; 5 940 ; 82,89 
Nigeria; 8 ; 957 ; 112,90 ; 71 ; 7 219 ; 101,54 ; 69 ; 5 654 ; 81,46 
;;;;;;;;;
Varenr: 03055312 03055912;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk brosme;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 20 ; 2 402 ; 119,68 ; 127 ; 13 076 ; 102,70 ; 95 ; 8 445 ; 89,21 
Nigeria; 20 ; 2 402 ; 119,68 ; 93 ; 10 616 ; 114,34 ; 72 ; 5 793 ; 80,56 
Storbritannia;;; . ; 8 ; 1 436 ; 188,25 ; 13 ; 1 465 ; 112,65 
Canada;;; . ; 26 ; 900 ; 34,40 ; 1 ; 93 ; 102,96 
EU27;;; . ; 1 ; 123 ; 182,90 ; 4 ; 395 ; 95,55 
Nederland;;; . ; 1 ; 123 ; 182,90 ; 1 ; 148 ; 123,60 
;;;;;;;;;
Varenr: 03055331 03055921;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørket langefilet;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 16 ; 2 013 ; 127,11 ; 19 ; 4 537 ; 234,82 ; 3 ; 298 ; 85,89 
Storbritannia;;; . ; 1 ; 2 228 ; 1 707,45 ; -   ; -   ; . 
EU27; 16 ; 2 013 ; 127,11 ; 16 ; 2 013 ; 127,11 ; -   ; -   ; . 
Luxemburg; 16 ; 2 013 ; 127,11 ; 16 ; 2 013 ; 127,11 ;;; . 
Nigeria;;; . ; 2 ; 295 ; 135,73 ; 3 ; 298 ; 85,89 
;;;;;;;;;
Varenr: 03053008 3053222 03053922;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av annen fisk: tørrfisk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 4 ; 408 ; 103,94 ; 8 ; 625 ; 75,60 ; -   ; -   ; . 
Nigeria; 4 ; 380 ; 102,94 ; 8 ; 592 ; 74,10 ;;; . 
Canada; -   ; 21 ; 118,74 ; -   ; 21 ; 118,74 ;;; . 
;;;;;;;;;
Varenr: 03055907 03055991;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørkede fiskehoder, -haler og svømmeblærer;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 907 ; 25 263 ; 27,86 ; 2 888 ; 81 864 ; 28,35 ; 2 974 ; 63 676 ; 21,41 
Nigeria; 672 ; 21 243 ; 31,63 ; 2 433 ; 73 997 ; 30,42 ; 2 553 ; 57 997 ; 22,72 
Kina; 70 ; 1 327 ; 18,85 ; 216 ; 3 399 ; 15,71 ; 234 ; 2 907 ; 12,41 
Vietnam; 122 ; 1 410 ; 11,58 ; 171 ; 2 188 ; 12,76 ; 99 ; 936 ; 9,43 
EU27; 40 ; 1 198 ; 29,86 ; 62 ; 1 930 ; 30,89 ; 66 ; 1 360 ; 20,62 
Portugal; 40 ; 1 198 ; 29,86 ; 59 ; 1 783 ; 30,00 ; 52 ; 1 086 ; 20,92 
Storbritannia; 2 ; 74 ; 30,19 ; 4 ; 340 ; 78,43 ; 9 ; 261 ; 30,26 
Nederland;;; . ; 3 ; 147 ; 48,53 ; -   ; 3 ; 31,15 
Canada; -   ; 11 ; 35,62 ; -   ; 11 ; 35,62 ; 4 ; 63 ; 17,81 
;;;;;;;;;
Varenr: 03055105 03057200;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltfisk totalt, inkl. filet;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 4 256 ; 376 727 ; 88,52 ; 10 881 ; 872 358 ; 80,17 ; 12 859 ; 828 283 ; 64,41 
EU27; 4 097 ; 368 418 ; 89,92 ; 9 858 ; 824 959 ; 83,68 ; 11 951 ; 793 793 ; 66,42 
Portugal; 3 807 ; 342 670 ; 90,02 ; 7 481 ; 650 093 ; 86,90 ; 8 816 ; 617 063 ; 69,99 
Hellas;;; . ; 1 286 ; 88 242 ; 68,63 ; 1 663 ; 91 478 ; 54,99 
Spania; 195 ; 17 220 ; 88,22 ; 693 ; 54 215 ; 78,23 ; 866 ; 53 119 ; 61,35 
Italia; 68 ; 6 852 ; 101,50 ; 318 ; 28 147 ; 88,65 ; 347 ; 23 057 ; 66,45 
Canada; 109 ; 4 085 ; 37,48 ; 442 ; 16 446 ; 37,20 ; 584 ; 19 728 ; 33,77 
Storbritannia; 25 ; 2 111 ; 84,96 ; 271 ; 12 250 ; 45,25 ; 130 ; 4 342 ; 33,35 
Tunisia;;; . ; 110 ; 6 790 ; 61,71 ; 115 ; 5 422 ; 47,15 
San Marino; 20 ; 1 722 ; 86,11 ; 82 ; 6 157 ; 75,50 ; 40 ; 2 119 ; 53,61 
Angola;;; . ; 91 ; 3 224 ; 35,57 ; -   ; -   ; . 
Frankrike; 19 ; 944 ; 49,13 ; 62 ; 2 853 ; 46,30 ; 218 ; 7 559 ; 34,74 
Sverige; 9 ; 720 ; 84,26 ; 12 ; 996 ; 86,58 ; -   ; -   ; . 
Australia;;; . ; 15 ; 979 ; 67,55 ; 23 ; 1 355 ; 58,92 
Hong Kong;;; . ; 5 ; 834 ; 162,46 ; 12 ; 1 234 ; 105,88 
Singapore; 4 ; 325 ; 77,39 ; 4 ; 325 ; 77,39 ; -   ; -   ; . 
Nigeria; 1 ; 66 ; 84,54 ; 3 ; 298 ; 103,34 ; 2 ; 121 ; 73,59 
Nederland;;; . ; 5 ; 176 ; 39,07 ; 1 ; 123 ; 98,01 
Danmark; -   ; 11 ; 137,89 ; 1 ; 149 ; 111,46 ; 1 ; 96 ; 74,14 
Sveits;;; . ; 2 ; 97 ; 64,67 ; 3 ; 168 ; 56,00 
Tyskland;;; . ; 1 ; 51 ; 68,02 ; 4 ; 267 ; 61,32 
Polen;;; . ; 1 ; 37 ; 31,19 ;;; . 
;;;;;;;;;
Varenr: 03053004030530050305300603053007030532010305321003053221030532300305392103053930030539910305620003056901030569020305690303056904;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltet sei;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 130 ; 5 129 ; 39,35 ; 975 ; 37 234 ; 38,19 ; 738 ; 22 806 ; 30,91 
Canada; 109 ; 4 085 ; 37,48 ; 442 ; 16 446 ; 37,20 ; 406 ; 11 958 ; 29,49 
EU27; 21 ; 1 044 ; 48,90 ; 255 ; 10 488 ; 41,14 ; 219 ; 7 472 ; 34,20 
Portugal; 21 ; 1 044 ; 48,90 ; 229 ; 9 453 ; 41,28 ; -   ; -   ; . 
Storbritannia;;; . ; 214 ; 8 455 ; 39,44 ; 114 ; 3 375 ; 29,65 
Angola;;; . ; 64 ; 1 845 ; 29,00 ; -   ; -   ; . 
Frankrike;;; . ; 21 ; 856 ; 40,11 ; 191 ; 6 685 ; 34,91 
Nederland;;; . ; 5 ; 176 ; 39,07 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03056902;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltet torsk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 3 973 ; 357 469 ; 89,98 ; 8 489 ; 738 338 ; 86,98 ; 10 555 ; 723 736 ; 68,57 
EU27; 3 948 ; 355 368 ; 90,02 ; 8 446 ; 734 981 ; 87,03 ; 10 381 ; 715 613 ; 68,93 
Portugal; 3 779 ; 341 079 ; 90,26 ; 7 223 ; 638 802 ; 88,44 ; 8 770 ; 614 996 ; 70,13 
Spania; 157 ; 13 687 ; 87,36 ; 579 ; 46 343 ; 80,07 ; 720 ; 47 036 ; 65,37 
Hellas;;; . ; 585 ; 44 747 ; 76,45 ; 875 ; 52 370 ; 59,85 
Italia;;; . ; 46 ; 4 473 ; 97,50 ; 5 ; 435 ; 80,96 
Storbritannia; 25 ; 2 102 ; 84,79 ; 38 ; 3 007 ; 78,23 ; 13 ; 873 ; 66,31 
Frankrike; 12 ; 602 ; 48,73 ; 12 ; 602 ; 48,73 ; 4 ; 297 ; 66,91 
San Marino;;; . ; 5 ; 350 ; 76,84 ; -   ; -   ; . 
Danmark;;; . ; -   ; 15 ; 99,75 ; 1 ; 70 ; 82,33 
;;;;;;;;;
Varenr: 03056200;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltet brosme;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT;;; . ; 17 ; 649 ; 38,98 ; 24 ; 625 ; 26,51 
Spania;;; . ; 11 ; 425 ; 37,67 ; 5 ; 135 ; 29,13 
EU27;;; . ; 11 ; 425 ; 37,67 ; 20 ; 517 ; 26,47 
Storbritannia;;; . ; 5 ; 224 ; 41,74 ; 1 ; 30 ; 28,09 
;;;;;;;;;
Varenr: 03056901;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltet lange;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 27 ; 1 408 ; 51,41 ; 177 ; 9 734 ; 55,08 ; 203 ; 7 905 ; 38,93 
EU27; 27 ; 1 408 ; 51,41 ; 153 ; 8 560 ; 55,80 ; 186 ; 7 236 ; 39,00 
Hellas;;; . ; 77 ; 4 519 ; 58,79 ; 93 ; 3 965 ; 42,74 
Frankrike; 7 ; 343 ; 49,85 ; 28 ; 1 395 ; 49,96 ; 4 ; 140 ; 33,48 
Spania; 21 ; 1 065 ; 51,93 ; 26 ; 1 354 ; 51,14 ; 58 ; 2 119 ; 36,80 
Portugal;;; . ; 22 ; 1 291 ; 58,40 ; 24 ; 779 ; 32,61 
Australia;;; . ; 8 ; 513 ; 62,19 ; 8 ; 355 ; 47,31 
Storbritannia;;; . ; 7 ; 324 ; 43,34 ; 1 ; 32 ; 30,49 
San Marino;;; . ; 4 ; 209 ; 58,19 ;;; . 
Tunisia;;; . ; 4 ; 127 ; 31,86 ;;; . 
;;;;;;;;;
Varenr: 03056903;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltet hyse;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT;;; . ; 4 ; 135 ; 36,87 ; 11 ; 324 ; 28,59 
Storbritannia;;; . ; 4 ; 135 ; 36,87 ; 1 ; 32 ; 29,68 
;;;;;;;;;
Varenr: 03056904;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltet langefilet;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 19 ; 1 396 ; 74,91 ; 888 ; 56 386 ; 63,50 ; 976 ; 49 228 ; 50,46 
EU27; 9 ; 732 ; 84,77 ; 746 ; 47 292 ; 63,40 ; 803 ; 40 518 ; 50,49 
Hellas;;; . ; 611 ; 38 651 ; 63,21 ; 678 ; 34 406 ; 50,77 
Tunisia;;; . ; 106 ; 6 663 ; 62,84 ; 115 ; 5 422 ; 47,15 
Italia;;; . ; 68 ; 4 187 ; 61,13 ; 43 ; 2 295 ; 53,34 
Spania;;; . ; 53 ; 3 339 ; 62,73 ; 81 ; 3 777 ; 46,58 
San Marino; 10 ; 664 ; 66,41 ; 28 ; 1 868 ; 65,95 ; 40 ; 2 119 ; 53,61 
Sverige; 9 ; 720 ; 84,26 ; 12 ; 996 ; 86,58 ; -   ; -   ; . 
Australia;;; . ; 6 ; 466 ; 74,63 ; 16 ; 1 000 ; 64,54 
Sveits;;; . ; 2 ; 97 ; 64,67 ; 3 ; 168 ; 56,00 
Danmark; -   ; 11 ; 137,89 ; -   ; 68 ; 140,43 ; -   ; -   ; . 
Tyskland;;; . ; 1 ; 51 ; 68,02 ; 1 ; 41 ; 54,06 
;;;;;;;;;
Varenr: 03053005 03053921 3053221;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av saltede fileter av torsk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 106 ; 11 259 ; 105,87 ; 264 ; 25 983 ; 98,51 ; 225 ; 18 408 ; 81,91 
EU27; 92 ; 9 867 ; 107,14 ; 229 ; 22 210 ; 96,91 ; 213 ; 17 174 ; 80,60 
Italia; 68 ; 6 852 ; 101,50 ; 192 ; 18 737 ; 97,84 ; 189 ; 15 867 ; 84,14 
Spania; 18 ; 2 468 ; 137,03 ; 18 ; 2 539 ; 137,75 ; 2 ; 19 ; 9,26 
San Marino; 10 ; 1 058 ; 105,81 ; 24 ; 2 511 ; 105,38 ;;; . 
Hong Kong;;; . ; 5 ; 834 ; 162,46 ; 12 ; 1 234 ; 105,88 
Portugal; 7 ; 547 ; 83,23 ; 7 ; 547 ; 83,23 ; 22 ; 1 287 ; 57,42 
Hellas;;; . ; 12 ; 325 ; 26,92 ;;; . 
Singapore; 4 ; 325 ; 77,39 ; 4 ; 325 ; 77,39 ; -   ; -   ; . 
Storbritannia; -   ; 9 ; 154,47 ; 1 ; 104 ; 73,36 ; -   ; -   ; . 
Danmark;;; . ; 1 ; 62 ; 103,80 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03053004 03053201 3053210;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksportav saltede fileter av brosme;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 1 ; 66 ; 84,54 ; 68 ; 3 862 ; 57,12 ; 128 ; 5 253 ; 41,01 
Angola;;; . ; 27 ; 1 379 ; 51,06 ;;; . 
San Marino;;; . ; 21 ; 1 220 ; 57,39 ; -   ; -   ; . 
EU27;;; . ; 16 ; 966 ; 58,60 ; 126 ; 5 131 ; 40,59 
Italia;;; . ; 12 ; 751 ; 64,45 ; 109 ; 4 395 ; 40,50 
Nigeria; 1 ; 66 ; 84,54 ; 3 ; 298 ; 103,34 ; 2 ; 121 ; 73,59 
Spania;;; . ; 5 ; 215 ; 44,52 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03053230 03053930;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fersk makrell;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; -   ; 17 ; 65,77 ; -   ; 20 ; 64,50 ; 80 ; 8 ; 0,10 
EU27; -   ; 17 ; 65,77 ; -   ; 20 ; 64,50 ; 80 ; 8 ; 0,10 
Danmark; -   ; 9 ; 40,59 ; -   ; 13 ; 44,75 ; 80 ; 8 ; 0,10 
;;;;;;;;;
Varenr: 03026400 03024400;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fryst makrell;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 7 053 ; 145 766 ; 20,67 ; 74 496 ; 1 432 447 ; 19,23 ; 66 741 ; 1 229 052 ; 18,42 
Sør-Korea; 578 ; 12 767 ; 22,08 ; 14 199 ; 291 739 ; 20,55 ; 13 012 ; 253 731 ; 19,50 
Japan; 120 ; 2 093 ; 17,44 ; 11 792 ; 232 612 ; 19,73 ; 6 654 ; 127 807 ; 19,21 
Vietnam; 1 395 ; 27 713 ; 19,87 ; 7 940 ; 155 182 ; 19,55 ; 5 589 ; 92 682 ; 16,58 
EU27; 1 222 ; 25 320 ; 20,72 ; 6 705 ; 130 202 ; 19,42 ; 7 062 ; 124 845 ; 17,68 
Egypt; 352 ; 5 986 ; 17,01 ; 6 370 ; 100 665 ; 15,80 ; 1 691 ; 21 098 ; 12,47 
Kina; 112 ; 2 169 ; 19,30 ; 4 259 ; 76 848 ; 18,04 ; 13 245 ; 246 504 ; 18,61 
Thailand; 894 ; 18 664 ; 20,89 ; 3 400 ; 69 801 ; 20,53 ; 4 419 ; 84 215 ; 19,06 
U S A; 572 ; 14 170 ; 24,79 ; 2 335 ; 55 020 ; 23,57 ; 2 734 ; 54 674 ; 20,00 
Nigeria; 108 ; 1 315 ; 12,18 ; 3 164 ; 44 557 ; 14,08 ; 241 ; 2 225 ; 9,22 
Kasakhstan; 526 ; 11 197 ; 21,30 ; 2 140 ; 44 520 ; 20,81 ; 1 243 ; 23 791 ; 19,14 
Nederland; 305 ; 6 776 ; 22,22 ; 1 930 ; 38 177 ; 19,78 ; 2 587 ; 47 862 ; 18,50 
Litauen; 449 ; 9 583 ; 21,36 ; 1 889 ; 37 585 ; 19,90 ; 1 787 ; 33 436 ; 18,71 
Ukraina; 83 ; 1 657 ; 19,96 ; 1 550 ; 31 328 ; 20,22 ; 731 ; 13 632 ; 18,65 
Taiwan; 25 ; 510 ; 20,39 ; 1 259 ; 25 999 ; 20,65 ; 1 947 ; 39 174 ; 20,12 
Indonesia; 236 ; 5 344 ; 22,66 ; 1 160 ; 24 630 ; 21,24 ; 628 ; 12 891 ; 20,53 
Hviterussland; 180 ; 4 102 ; 22,79 ; 1 192 ; 22 672 ; 19,02 ; 778 ; 14 031 ; 18,04 
Latvia; 253 ; 4 728 ; 18,66 ; 1 058 ; 18 315 ; 17,31 ; 588 ; 7 707 ; 13,10 
